"documentId","title","citationKey","authorsNames","tagList","goal","key","keys"
213,"Evaluating Link Prediction Accuracy in Dynamic Networks with Added and Removed Edges","Junuthula2016","Junuthula, Ruthwik R.; Xu, Kevin S.; Devabhaktuni, Vijay K.","dynamic network; edge addition; link prediction; node addition"," Study the link prediction problem in the context  where edges can be added or removed over time."," Previously, rolling 1-step forward prediction, univariate time series models to each node pair, similarity based methods which leverage network structure, or probabilistic generative models/SBMs. Node pairs are not iid, dependent on geodisic distance. Predict new links and previously observed links separately.",NA
215,"Computational methods for dynamic graphs","Cortes2003","Cortes, Corinna; Pregibon, Daryl; Volinsky, Chris","dynamic network; edge addition; node addition; review; temporal networks"," Overview of computational methods for dynamic graphs, with node/edge addition/attrition",NA,NA
224,"Null models and modularity based community detection in multi-layer networks","Paul2016","Paul, Subhadeep; Chen, Yuguo","Newman-Girvan null model; SBM; community detection; modularity; multilayer network"," Community detection in multilayer networks using modularity"," Newman-Girvan modularity or expected degree model based on a degree corrected blockmodel. Idea is that null model needs to be chosen with the aim of capturing all sources of systematic variation in the newtork except the community structure. Consider independent degree versus shared degree null models in the multilayer setting. Introduce degree corrected mulitlayer stochastic blockmodel. Adapt the Louvain algorithm to multilayer network setttings for computing number of communities and optimal partitions.",NA
232,"Bayesian Learning of Dynamic Multilayer Networks","Durante2016","Durante, Daniele; Mukherjee, Nabanita; Steorts, Rebecca C.","dynamic network; multilayer network"," Flexible model fo dynamic multilayer networks, incorporating dependence among edges, between layers and across time, without affecting flexibility. Retain network information, layer information, and time information."," Characterize edges as conditionally independent Bernouilli random variables, borrow information within network by defining probabilities as a function of actor variables in latent space. Gaussian process prior incorporates time dependence with time lag. MCMC routine for posterior inference.",NA
249,"Generative Benchmark Models for Mesoscale Structure in Multilayer Networks","Bazzi","Bazzi, Marya; Jeub, Lucas G. S.; Arenas, Alexandre; Howison, Sam D.; Porter, Mason A.","Multilayer networks; community detection; generative models; sampling"," Community detection in multilayer networks"," Generate random multilayer partitions with interlay dependency structure as benchmark model for comparison
",NA
264,"Multi-Layer Graph Analysis for Dynamic Social Networks","Oselio2014","Oselio, Brandon; Kulesza, Alex; Hero, Alfred O.","dynamic SBM; dynamic network; multilayer network; observed network"," Estimate the true adjacency matrices for each layer in a multilayer network using an unreliable observed adjacency matrix
"," Latent variable model which decouples the two layers (shown for two layers). Separately, fitting a dynamic SBM using Kalman filters.",NA
268,"Multilayer Spectral Graph Clustering via Convex Layer Aggregation","Chen2016","Chen, Pin-Yu; Hero, Alfred O.","community detection; multilayer network; spectral properties"," Cluster assignment through spectral analysis on multilayer graph"," Under a multilayer signal + noise model, convex layer aggregation using a layer weight vector. This establishes a critical value on the noise level that permits reliable cluster separation.",NA
270,"Community detection in multi-layer graphs: A survey","Kim2015","Kim, Jungeun; Lee, Jae-Gil","community detection; multilayer network"," Survey methods of community detection in multilayer graphs"," Distinguish between two-layer graphs (where one layer represents direct relations and another represents a similarity measure), and general multilayer graphs. Methods include expanding seeds (li et al.), matrix factorization (qi et al), unified distance measure (zhou et al), model-based methods (xu et al), pattern mining (silva et al) for two layer graphs, and matrix factorization (tang et al, dong et al), and pattern mining approaches for general multilayer graphs (zeng et al). Issues to be explored are general multi graphs, uncertainty, scalability, and temporal analysis.",NA
271,"Multilayer networks","Kivela2013","Kivela, M.; Arenas, Alexandre; Barthelemy, Marc; Gleeson, James P.; Moreno, Yamir; Porter, Mason A.","multilayer network"," Survey multilayer networks approaches.",NA,NA
291,"Community Extraction in Multilayer Networks with Heterogeneous Community Structure","Wilson2016","Wilson, James D.; Palowitch, John; Bhamidi, Shankar; Nobel, Andrew B.","community detection; multilayer network"," Multilayer extraction, as in vertex-layer sets wherein vertices are densely connected in the specified layers, in networks of heterogenous layer structure (not ordered or temporal, same vertices across all layers)"," Compare modularity to null random network model based on degree sequence of observed network (stubbing). Need not form partition; communities can have overlapping vertex sets, and some vertex-layer pairs need not belong to any community. Each individual vertex layer set is scored, rather than the partition as a whole. Begins with a seed set, followed by extraction and refinement.",NA
